#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = RandomProdUnit, seed = 70.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.03573884108913376 NaN NaN NaN
10.035738841089131 34.333333333333336 35.0 34.0
20.035738841089096 72.66666666666667 73.0 72.0
30.03573884108906 114.0 115.0 113.0
40.03573884108917 150.0 150.0 150.0
50.03573884108931 191.0 192.0 190.0
60.035738841089454 229.33333333333334 230.0 229.0
70.0357388410896 268.3333333333333 269.0 268.0
80.03573884108974 306.3333333333333 307.0 306.0
90.03573884108988 344.3333333333333 345.0 344.0
100.03573884109002 386.0 387.0 384.0
110.03573884109016 426.0 426.0 426.0
120.0357388410903 464.0 464.0 464.0
130.0357388410903 504.0 504.0 504.0
140.03573884108974 543.0 543.0 543.0
150.03573884108917 579.0 580.0 578.0
160.0357388410886 619.0 619.0 619.0
170.03573884108803 656.0 656.0 656.0
180.03573884108746 695.3333333333334 696.0 695.0
190.0357388410869 733.3333333333334 734.0 733.0
200.03573884108633 773.0 773.0 773.0
210.03573884108576 809.3333333333334 810.0 808.0
220.0357388410852 848.6666666666666 849.0 848.0
230.03573884108462 887.0 888.0 886.0
240.03573884108405 923.0 923.0 923.0
250.0357388410835 964.3333333333334 965.0 964.0
260.03573884108295 1002.3333333333334 1004.0 1001.0
270.0357388410824 1041.3333333333333 1042.0 1041.0
280.0357388410818 1080.6666666666667 1081.0 1080.0
290.03573884108124 1120.3333333333333 1121.0 1120.0
300.0357388410807 1156.3333333333333 1157.0 1156.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
