#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = Self, seed = 88.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.012014949388067775 NaN NaN NaN
10.012014949388066 21.0 21.0 21.0
20.012014949388032 41.0 41.0 41.0
30.012014949387996 61.333333333333336 62.0 61.0
40.0120149493881 83.33333333333333 84.0 83.0
50.012014949388245 100.33333333333333 101.0 100.0
60.01201494938839 117.0 117.0 117.0
70.01201494938853 137.33333333333334 138.0 137.0
80.01201494938867 153.0 153.0 153.0
90.01201494938881 166.33333333333334 167.0 166.0
100.01201494938896 185.0 185.0 185.0
110.0120149493891 202.0 202.0 202.0
120.01201494938924 220.0 220.0 220.0
130.01201494938923 236.33333333333334 237.0 236.0
140.01201494938866 257.3333333333333 258.0 257.0
150.0120149493881 274.3333333333333 275.0 274.0
160.01201494938752 292.3333333333333 293.0 292.0
170.01201494938695 309.0 309.0 309.0
180.01201494938638 329.0 329.0 329.0
190.01201494938582 350.3333333333333 351.0 350.0
200.01201494938525 368.3333333333333 369.0 368.0
210.01201494938468 387.3333333333333 388.0 387.0
220.0120149493841 406.0 406.0 406.0
230.01201494938354 425.3333333333333 426.0 425.0
240.01201494938297 441.0 441.0 441.0
250.0120149493824 457.0 457.0 457.0
260.01201494938186 474.3333333333333 475.0 474.0
270.0120149493813 489.0 489.0 489.0
280.0120149493807 505.0 505.0 505.0
290.01201494938016 522.0 522.0 522.0
300.0120149493796 537.3333333333334 538.0 537.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
