#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:14+0000 #
#####################################################################
#
# assign_mod = ShortWaitingList, seed = 45.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.022394608475002853 NaN NaN NaN
10.022394608475 38.333333333333336 39.0 38.0
20.022394608474965 78.33333333333333 79.0 78.0
30.02239460847493 118.33333333333333 119.0 118.0
40.02239460847504 158.33333333333334 159.0 158.0
50.02239460847518 198.33333333333334 199.0 198.0
60.022394608475324 238.33333333333334 239.0 238.0
70.02239460847547 278.3333333333333 279.0 278.0
80.02239460847561 318.3333333333333 319.0 318.0
90.02239460847575 358.3333333333333 359.0 358.0
100.02239460847589 398.3333333333333 399.0 398.0
110.02239460847603 438.3333333333333 439.0 438.0
120.02239460847618 478.3333333333333 479.0 478.0
130.02239460847616 518.3333333333334 519.0 518.0
140.0223946084756 558.3333333333334 559.0 558.0
150.02239460847503 598.3333333333334 599.0 598.0
160.02239460847446 638.3333333333334 639.0 638.0
170.0223946084739 678.3333333333334 679.0 678.0
180.02239460847332 718.3333333333334 719.0 718.0
190.02239460847275 758.3333333333334 759.0 758.0
200.02239460847218 798.3333333333334 799.0 798.0
210.02239460847161 838.3333333333334 839.0 838.0
220.02239460847105 878.3333333333334 879.0 878.0
230.02239460847048 918.3333333333334 919.0 918.0
240.0223946084699 958.3333333333334 959.0 958.0
250.02239460846934 998.3333333333334 999.0 998.0
260.0223946084688 1038.3333333333333 1039.0 1038.0
270.02239460846823 1078.3333333333333 1079.0 1078.0
280.02239460846766 1118.3333333333333 1119.0 1118.0
290.0223946084671 1158.3333333333333 1159.0 1158.0
300.0223946084665 1198.3333333333333 1199.0 1198.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:14+0000 #
#####################################################################
